sample_id,ena_run
AR0001-C,ERR347035
AR0001-C,ERR347047
AR0001-C,ERR352136
AR0002-C,ERR328585
AR0002-C,ERR323844
AR0002-C,ERR328597
AR0004-C,ERR343648
AR0004-C,ERR343636
AR0004-C,ERR343468
AR0006-C,ERR347036
AR0006-C,ERR347048
AR0006-C,ERR352137
AR0007-C,ERR328581
AR0007-C,ERR323840
AR0007-C,ERR328593
AR0008-C,ERR327182
AR0008-C,ERR323716
AR0008-C,ERR327170
AR0009-C,ERR323848
AR0009-C,ERR328589
AR0009-C,ERR328601
AR0010-Cx,ERR495460
AR0010-Cx,ERR495448
AR0010-Cx,ERR491324
AR0011-C,ERR328588
AR0011-C,ERR328600
AR0011-C,ERR323847
AR0012-C,ERR323775
AR0012-C,ERR327049
AR0012-C,ERR327061
AR0013-Cx,ERR495647
AR0013-Cx,ERR501680
AR0013-Cx,ERR501692
AR0014-C,ERR328561
AR0014-C,ERR323832
AR0014-C,ERR328573
AR0015-C,ERR327191
AR0015-C,ERR327203
AR0015-C,ERR323725
AR0016-Cx,ERR495454
AR0016-Cx,ERR495466
AR0016-Cx,ERR491330
AR0017-C,ERR323724
AR0017-C,ERR327190
AR0017-C,ERR327202
AR0018-Cx,ERR491369
AR0018-Cx,ERR495529
AR0018-Cx,ERR495541
AR0019-C,ERR327204
AR0019-C,ERR327192
AR0019-C,ERR323726
AR0020-C,ERR328569
AR0020-C,ERR328557
AR0020-C,ERR323828
AR0021-C,ERR327179
AR0021-C,ERR327167
AR0021-C,ERR323713
AR0022-C,ERR328584
AR0022-C,ERR323843
AR0022-C,ERR328596
AR0023-C,ERR328556
AR0023-C,ERR328568
AR0023-C,ERR323827
AR0024-C,ERR328572
AR0024-C,ERR323831
AR0024-C,ERR328560
AR0026-C,ERR517032
AR0026-C,ERR517020
AR0026-C,ERR516901
AR0027-C,ERR323836
AR0027-C,ERR328577
AR0027-C,ERR328565
AR0034-C,ERR323728
AR0034-C,ERR327194
AR0034-C,ERR327206
AR0035-C,ERR323850
AR0035-C,ERR328591
AR0035-C,ERR328603
AR0036-C,ERR347029
AR0036-C,ERR352130
AR0036-C,ERR347017
AR0038-C,ERR327077
AR0038-C,ERR327065
AR0038-C,ERR323779
AR0040-C,ERR346965
AR0040-C,ERR346977
AR0040-C,ERR343490
AR0042-C,ERR323771
AR0042-C,ERR327045
AR0042-C,ERR327057
AR0043-C,ERR328602
AR0043-C,ERR323849
AR0043-C,ERR328590
AR0044-C,ERR347028
AR0044-C,ERR347016
AR0044-C,ERR352129
AR0045-C,ERR328626
AR0045-C,ERR328614
AR0045-C,ERR323861
AR0046-C,ERR347037
AR0046-C,ERR347049
